ID	direction
NA21093_1	INV
NA21093_2	DIR
NA21102_1	INV
NA21102_2	DIR
NA21106_1	INV
NA21106_2	DIR
NA21110_1	INV
NA21110_2	INV
NA21144_1	DIR
NA21144_2	INV
NA21309_1	DIR
NA21309_2	DIR
